ID;Name;URL;Phone;Email;Address;Populated place
000695146;National Statistical Institute;https://www.nsi.bg;(+359 2) 9857 111;info@nsi.bg;"2, P. Volov Str.;1038 Sofia, Bulgaria";Sofia
000000000;National Statistical Institute;;(+359 2) 9857 111;info@nsi.bg;"2, P. Volov Str.;1038 Sofia, Bulgaria";Sofia
000000001;STATISTIK AUSTRIA;http://www.statistik.at;+43 (1) 711 28-0;info@statistik.gv.at;"Österreich Guglgasse 13 1110 Wien";Wien
000000002;STATISTIK AUSTRIA;;+43 (1) 711 28-0;info@statistik.gv.at;"Österreich Guglgasse 13 1110 Wien";Wien
000000003;STATISTIK AUSTRIA;;+43 (1) 711 28-0;;"Österreich Guglgasse 13 1110 Wien";Wien
000000004;STATISTIK AUSTRIA;;;info@statistik.gv.at;"Österreich Guglgasse 13 1110 Wien";Wien
000000005;STATISTIK AUSTRIA;;;;"Österreich Guglgasse 13 1110 Wien";Wien
000000006;Institute of Statistics;http://www.instat.gov.al;+355 (4) 2233356;info@instat.gov.al;"St. Vllazën Huta, Building 35, Entrance 1;Tirana 1017";Tirana
000000007;Institute of Statistics;;+355 (4) 2233356;info@instat.gov.al;"St. Vllazën Huta, Building 35, Entrance 1;Tirana 1017";Tirana
000000008;Institute of Statistics;http://www.instat.gov.al;;info@instat.gov.al;"St. Vllazën Huta, Building 35, Entrance 1;Tirana 1017";Tirana
000000009;Institute of Statistics;http://www.instat.gov.al;+355 (4) 2233356;info@instat.gov.al;;Tirana
000000010;Institute of Statistics;;;info@instat.gov.al;"St. Vllazën Huta, Building 35, Entrance 1;Tirana 1017";
000000011;Departament d´Estadística;https://www.estadistica.ad/serveiestudis/web/index.asp;(376) 88 54 45;estadistica@govern.ad;"Carrer de les Boïgues, 2, 3a planta;AD700 Escaldes Engordany";Escaldes-Engordany
000000012;Departament d´Estadística;https://www.estadistica.ad/serveiestudis/web/index.asp;(376) 88 54 45;estadistica@govern.ad;;Escaldes-Engordany
000000013;Departament d´Estadística;;(376) 88 54 45;estadistica@govern.ad;"Carrer de les Boïgues, 2, 3a planta;AD700 Escaldes Engordany";Escaldes-Engordany
000000014;Departament d´Estadística;https://www.estadistica.ad/serveiestudis/web/index.asp;;estadistica@govern.ad;"Carrer de les Boïgues, 2, 3a planta;AD700 Escaldes Engordany";Escaldes-Engordany
000000015;Departament d´Estadística;https://www.estadistica.ad/serveiestudis/web/index.asp;(376) 88 54 45;;"Carrer de les Boïgues, 2, 3a planta;AD700 Escaldes Engordany";Escaldes-Engordany
000000016;Departament d´Estadística;https://www.estadistica.ad/serveiestudis/web/index.asp;(376) 88 54 45;estadistica@govern.ad;"Carrer de les Boïgues, 2, 3a planta;AD700 Escaldes Engordany";
000000017;National Statistical Committee of the Republic of Belarus;https://www.belstat.gov.by;+375 17 367-52-00;belstat@belstat.gov.by;"12, Partizansky avenue;220070 Minsk";Belarus
000000019;National Statistical Committee of the Republic of Belarus;;+375 17 367-52-00;;;Belarus
000000020;Statistics Belgium;https://statbel.fgov.be;+32 (0)2 277.65.05;statpress@economie.fgov.be;"North Gate - Boulevard du Roi Albert II, 16;1000 Brussels";Brussels
000000021;Statistics Belgium;https://statbel.fgov.be;+32 (0)499 18 43 43;statpress@economie.fgov.be;"North Gate - Boulevard du Roi Albert II, 16;1000 Brussels";Brussels
000000022;Statistics Belgium;https://statbel.fgov.be;;statpress@economie.fgov.be;"North Gate - Boulevard du Roi Albert II, 16;1000 Brussels";Brussels
000000023;Statistics Belgium;;+32 (0)499 18 43 43;statpress@economie.fgov.be;;Brussels
000000024;Statistisches Bundesamt;https://www.destatis.de;;;"Gustav-Stresemann-Ring 11;65189 Wiesbaden";Wiesbaden
000000025;Federal Statistical Office;https://www.destatis.de;;;"Gustav-Stresemann-Ring 11;65189 Wiesbaden";Wiesbaden
000000026;Federal Statistical Office;https://www.destatis.de;;;"Gustav-Stresemann-Ring 11;65189 Wiesbaden";Wiesbaden
000000027;Statistisches Bundesam;https://www.destatis.de;;;;Wiesbaden
000000028;Government of Gibraltar;https://www.gibraltar.gov.gi;(+350) 20075515;statistics@gibraltar.gov.gi;"Suite 3.22 World Trade Center 6 Bayside Road;GX11 1AA Gibraltar";Gibraltar
000000029;Statistics Office;;(+350) 20075515;statistics@gibraltar.gov.gi;"Suite 3.22 World Trade Center 6 Bayside Road;GX11 1AA Gibraltar";Gibraltar
000000028;Statistics Office;https://www.gibraltar.gov.gi;(+350) 20075490;;;Gibraltar
000000030;Government of Gibraltar;https://www.gibraltar.gov.gi;(+350) 20075490;statistics@gibraltar.gov.gi;"Suite 3.22 World Trade Center 6 Bayside Road;GX11 1AA Gibraltar";Gibraltar
000000031;Statistics Greenland;http://www.stat.gl/;+299 34 57 70;stat@stat.gl;"Intaleeqqap Aqqutaa 1;P.O. Box 1025;DK-3900 Nuuk, Greenland";Nuuk
000000032;Statistics Greenland;http://www.stat.gl/;+299 34 57 70;stat@stat.gl;;Nuuk
000000033;Statistics Greenland;;+299 34 57 70;stat@stat.gl;"Intaleeqqap Aqqutaa 1;P.O. Box 1025";Nuuk
000000034;Hellenic Statistical Authority;https://www.statistics.gr;213 135 2000;;"46 Pireos St. Eponiton St. 185 10";Piraeus
000000035;National Statistical Service;https://www.statistics.gr;213 135 2000;;;Piraeus
000000036;Hellenic Statistical Authority;;213 135 2000;;"46 Pireos St. Eponiton St. 185 10";Piraeus
000000037;Statistics Denmark;https://www.dst.dk;+45 39 17 39 17;dst@dst.dk;"Sejrøgade 11 DK-2100 Copenhagen";Copenhagen
000000038;Statistics Denmark;;+45 39 17 39 17;dst@dst.dk;"Sejrøgade 11 DK-2100 Copenhagen";Copenhagen
000000039;Statistics Denmark;;+45 39 17 39 17;;"Sejrøgade 11 DK-2100 Copenhagen";Copenhagen
000000040;Statistics Denmark;https://www.dst.dk;;;;Copenhagen
